flash_time,click_time
3.0042078495025635,3.3854427337646484
6.00710916519165,6.222390174865723
9.012377500534058,9.046239614486694
12.012464046478271,12.029016733169556
15.029030799865723,14.730597496032715
3.0001444816589355,3.2469258308410645
6.010389089584351,6.209132432937622
9.015680074691772,8.767613649368286
12.031173467636108,11.850635051727295
15.036543846130371,14.972691297531128
3.0149142742156982,3.2640020847320557
6.0217649936676025,6.254230260848999
9.034971952438354,8.668744564056396
12.05121636390686,11.835861206054688
15.065636396408081,15.065636396408081
